epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,4929,1.03589,8.81985,0.8308,0.756,0.54387,0.64948,0.47418,0.90647,7.76761,0.83441,0.00458416,0.00458416,0.00458416
55,5020.38,1.04029,8.77267,0.83272,0.7428,0.55934,0.64342,0.4721,0.90851,7.73977,0.83453,0.0044296,0.0044296,0.0044296
56,5111.25,1.02358,8.61855,0.82992,0.75441,0.56696,0.65832,0.48568,0.90418,7.55643,0.83575,0.00427565,0.00427565,0.00427565
57,5202.7,1.02629,8.49897,0.82941,0.74803,0.57187,0.67149,0.49174,0.90414,7.4407,0.83515,0.00412246,0.00412246,0.00412246
58,5293.92,1.01695,8.48306,0.83141,0.68709,0.60354,0.65586,0.48099,0.89507,7.36751,0.83214,0.00397019,0.00397019,0.00397019
59,5385.01,1.01758,8.32307,0.83213,0.70034,0.57753,0.65771,0.48209,0.89945,7.38285,0.83286,0.00381899,0.00381899,0.00381899
60,5476.65,1.01213,8.27301,0.83267,0.70221,0.59701,0.65544,0.48252,0.89707,7.34464,0.83253,0.00366899,0.00366899,0.00366899
61,5567.53,1.00468,8.04303,0.83313,0.71456,0.58907,0.66687,0.48876,0.89352,7.32713,0.83111,0.00352037,0.00352037,0.00352037
62,5659.09,1.00966,8.16142,0.82828,0.7616,0.56374,0.67848,0.49896,0.89228,7.2876,0.83175,0.00337325,0.00337325,0.00337325
63,5750.5,0.9987,7.96403,0.83164,0.70911,0.5936,0.68413,0.50554,0.89371,7.20917,0.83093,0.00322778,0.00322778,0.00322778
64,5841.91,1.00416,7.99015,0.83074,0.76485,0.5804,0.67896,0.50219,0.88768,7.20666,0.82951,0.00308412,0.00308412,0.00308412
65,5933.28,1.00168,7.91425,0.83437,0.77292,0.56532,0.68601,0.50672,0.89103,7.25432,0.83082,0.00294239,0.00294239,0.00294239
66,6024.29,0.9855,7.7263,0.83082,0.8028,0.5733,0.69628,0.51565,0.88792,7.15755,0.82908,0.00280275,0.00280275,0.00280275
67,6115.48,0.98994,7.72715,0.82956,0.7979,0.56104,0.68473,0.50885,0.88283,7.06162,0.82872,0.00266532,0.00266532,0.00266532
68,6207.31,0.99202,7.65227,0.82797,0.73903,0.59373,0.67741,0.50335,0.88207,7.14252,0.83056,0.00253024,0.00253024,0.00253024
69,6297.96,0.99692,7.74349,0.82424,0.74512,0.59971,0.69493,0.51539,0.88321,7.10681,0.82992,0.00239766,0.00239766,0.00239766
70,6389.2,0.98213,7.56064,0.83045,0.75214,0.58522,0.6902,0.51123,0.88069,7.06962,0.82848,0.00226769,0.00226769,0.00226769
71,6480.15,0.97712,7.47781,0.82824,0.75067,0.5969,0.68566,0.50679,0.88005,7.01745,0.82881,0.00214046,0.00214046,0.00214046
72,6571.69,0.98143,7.38804,0.82716,0.73333,0.61093,0.69453,0.51295,0.8795,7.0286,0.82881,0.00201611,0.00201611,0.00201611
73,6662.89,0.97509,7.36779,0.82566,0.71923,0.63758,0.70145,0.52111,0.87669,6.96088,0.82921,0.00189475,0.00189475,0.00189475
74,6754.28,0.97216,7.28288,0.82771,0.71671,0.64038,0.7041,0.52519,0.8771,6.92765,0.8289,0.00177651,0.00177651,0.00177651
75,6845.48,0.96775,7.23565,0.82701,0.69211,0.65504,0.69989,0.51996,0.87535,6.95747,0.82979,0.00166149,0.00166149,0.00166149
76,6937.11,0.98024,7.2201,0.8226,0.6579,0.67151,0.69317,0.51484,0.87247,6.92061,0.82911,0.00154982,0.00154982,0.00154982
77,7028.19,0.96055,7.15802,0.82579,0.67469,0.66296,0.69261,0.51555,0.871,6.88047,0.82844,0.00144161,0.00144161,0.00144161
78,7119.65,0.95517,6.98787,0.82351,0.70578,0.64019,0.69437,0.51517,0.8695,6.85346,0.8277,0.00133695,0.00133695,0.00133695
79,7210.83,0.97052,7.06588,0.8264,0.70886,0.65586,0.70058,0.51965,0.86728,6.84394,0.82823,0.00123596,0.00123596,0.00123596
80,7302.12,0.95699,6.89317,0.82566,0.70409,0.64739,0.69624,0.51619,0.86732,6.84192,0.82778,0.00113873,0.00113873,0.00113873
81,7393.45,0.95533,6.96511,0.82454,0.70092,0.64758,0.69831,0.51986,0.86643,6.85785,0.82761,0.00104537,0.00104537,0.00104537
82,7484.15,0.94562,6.82403,0.82239,0.71755,0.63275,0.69777,0.52028,0.86672,6.85274,0.82772,0.000955951,0.000955951,0.000955951
83,7575.36,0.94746,6.7733,0.82568,0.70839,0.63661,0.69993,0.52037,0.86805,6.82188,0.8274,0.000870577,0.000870577,0.000870577
84,7666.08,0.93848,6.68868,0.82371,0.62514,0.68358,0.70147,0.51961,0.86778,6.83363,0.82718,0.000789327,0.000789327,0.000789327
85,7758,0.93678,6.75239,0.81892,0.66236,0.67763,0.7076,0.526,0.86611,6.84189,0.82714,0.000712282,0.000712282,0.000712282
86,7848.31,0.9354,6.53727,0.82268,0.7031,0.65355,0.71065,0.52926,0.86628,6.83582,0.82746,0.000639518,0.000639518,0.000639518
87,7938.85,0.93447,6.56986,0.82221,0.72842,0.63151,0.70904,0.52879,0.86655,6.81108,0.82745,0.000571106,0.000571106,0.000571106
88,8030.43,0.93427,6.56353,0.82081,0.64956,0.68537,0.71134,0.53109,0.86655,6.80505,0.82765,0.000507115,0.000507115,0.000507115
89,8121.62,0.94164,6.55559,0.81983,0.65509,0.69191,0.70396,0.52472,0.86647,6.79515,0.82743,0.000447606,0.000447606,0.000447606
